Stormwater Gallons Saved,CO2 Avoided (in lbs.),kWh Saved,Therms Saved,Pollutants Saved (in lbs.),Property Benefits ($)
293.93,12.56,59.71,23.54,0.13,38.69
211.4,8.68,41.25,18.76,0.1,30.4
525.48,101.68,41.25,18.76,0.71,30.4
1059.78,154.07,62.51,24.9,1.01,50.61
721.95,132.02,53.57,20.38,0.83,41.01
335.2,14.5,68.93,25.94,0.15,42.83
60.94,2.5,11.87,6.07,0.03,13.9
932.9,26.51,125.99,47.66,0.3,51.92
376.46,16.44,78.16,28.33,0.17,46.97
824.48,107.18,43.49,19.78,0.74,51.14
1527.64,259.97,105.48,39.05,1.69,29.97
77.57,12.62,4.42,2.12,0.09,26.83
2182.71,301.85,122.47,45.74,2.03,51.4
148.95,6.13,29.12,13.59,0.07,23.7
335.2,14.5,68.93,25.94,0.15,42.83
60.94,2.5,11.87,6.07,0.03,13.9
658.35,180.32,63.15,26.97,1.08,76.08
768.51,24.29,115.43,41.92,0.26,50.36
1732.81,229.16,92.98,36.54,1.55,74.89
21.17,0.73,3.48,1.8,0.01,8.22
1892.7,290.52,117.87,44.83,1.99,84.56
71.06,2.18,10.35,4.26,0.02,45.17
1419.78,251.19,101.92,36.9,1.6,31.76
878.96,27.09,128.75,48.01,0.31,95.99
39.2,1.76,8.38,4.35,0.02,10.78
1096.23,224.83,91.22,30.42,1.35,37.14
71.26,15.94,5.58,3.01,0.11,8.99
459.0,20.33,96.61,33.11,0.2,55.25
2288.39,385.81,135.12,47.6,2.41,103.36
1558.87,260.0,91.05,32.59,1.62,49.81
484.4,19.94,94.79,32.58,0.19,35.35
585.14,106.34,37.24,15.88,0.7,37.95
913.05,22.63,107.54,38.78,0.36,10.46
101.94,4.25,20.19,10.14,0.05,15.46
322.89,65.84,23.06,11.01,0.46,20.35
112.6,21.9,7.67,3.93,0.16,11.06
37.14,1.03,4.91,2.43,0.01,31.72
711.03,24.05,114.33,42.87,0.27,79.68
1908.25,319.38,129.59,44.82,1.98,100.38
823.31,25.03,118.95,43.83,0.27,50.88
177.74,5.4,25.64,11.08,0.06,47.04
427.8,83.95,29.4,12.66,0.55,57.16
4716.94,497.27,201.76,67.98,3.44,50.99
163.96,37.84,13.25,6.7,0.27,10.36
3044.35,459.05,160.77,58.07,2.99,115.03
658.71,109.98,38.52,17.2,0.74,43.18
1040.54,200.2,81.23,31.99,1.3,71.83
193.06,38.62,13.53,6.07,0.25,49.74
4399.89,476.69,193.41,66.15,3.29,52.16
328.08,13.25,62.98,22.89,0.13,40.04
459.0,20.33,96.61,33.11,0.2,55.25
965.52,169.44,59.34,25.36,1.13,42.79
117.72,4.85,23.06,11.01,0.06,20.35
293.93,12.56,59.71,23.54,0.13,38.69
1923.68,321.54,112.61,43.37,2.13,17.59
376.46,16.44,78.16,28.33,0.17,46.97
541.1,22.19,105.46,38.25,0.22,74.9
768.51,24.29,115.43,41.92,0.26,50.36
64.58,13.76,5.58,3.01,0.1,8.99
287.75,7.8,37.05,16.99,0.09,51.27
426.35,13.15,62.51,24.9,0.14,50.61
459.0,20.33,96.61,33.11,0.2,55.25
3595.68,434.11,176.14,60.83,2.99,150.32
660.62,23.31,110.79,40.92,0.26,74.79
117.72,4.85,23.06,11.01,0.06,20.35
559.81,21.82,103.7,37.02,0.23,65.02
706.83,114.28,46.37,20.48,0.77,44.68
1743.34,277.54,112.61,43.37,1.86,21.98
112.6,21.9,7.67,3.93,0.16,11.06
806.21,170.49,59.71,23.54,1.12,38.69
117.61,26.89,9.42,4.86,0.19,9.67
252.67,10.62,50.48,21.15,0.12,34.55
331.69,9.15,43.49,19.78,0.1,51.14
376.46,16.44,78.16,28.33,0.17,46.97
82.52,2.7,12.85,6.16,0.03,38.93
1002.66,201.63,81.81,27.91,1.22,38.11
1833.84,41.57,197.58,67.07,0.49,51.57
527.47,154.48,54.1,23.89,0.92,71.18
331.69,9.15,43.49,19.78,0.1,51.14
1087.09,255.19,89.37,35.06,1.55,89.43
117.72,4.85,23.06,11.01,0.06,20.35
1032.59,223.18,78.16,28.33,1.42,46.97
174.96,33.34,13.53,6.07,0.22,49.74
3323.74,463.23,187.95,64.46,3.04,123.17
163.96,37.84,13.25,6.7,0.27,10.36
370.24,71.78,29.12,13.59,0.5,23.7
1743.34,277.54,112.61,43.37,1.86,13.19
197.38,22.74,7.96,4.03,0.16,51.82
427.8,83.95,29.4,12.66,0.55,57.16
694.21,19.74,93.82,30.38,0.28,24.53
806.21,170.49,59.71,23.54,1.12,38.69
352.71,49.38,20.03,8.32,0.32,64.91
1311.93,242.4,98.35,34.74,1.52,33.55
614.57,22.19,105.48,39.05,0.23,29.97
308.08,9.66,45.92,19.99,0.11,44.13
703.89,79.65,53.0,22.34,0.55,50.88
1521.79,36.85,175.16,61.8,0.43,53.19
106.58,23.21,9.42,4.86,0.17,9.67
1767.41,281.79,114.33,42.87,1.91,79.68
1220.75,31.68,150.55,55.44,0.37,53.23
525.48,101.68,41.25,18.76,0.71,30.4
163.96,37.84,13.25,6.7,0.27,10.36
871.47,166.12,67.4,24.48,1.05,41.5
1096.23,224.83,91.22,30.42,1.35,37.14
761.43,24.8,117.87,44.83,0.28,84.56
628.05,124.42,50.48,21.15,0.84,34.55
193.28,40.1,16.27,8.19,0.29,14.05
33.09,7.28,2.55,1.2,0.05,7.42
70.75,5.79,27.53,13.29,0.05,56.15
459.0,20.33,96.61,33.11,0.2,55.25
211.33,48.15,16.86,8.45,0.34,11.03
14.68,1.44,0.58,0.33,0.01,16.38
319.35,11.83,56.21,21.62,0.12,70.88
4241.36,466.4,189.23,65.24,3.22,52.74
148.95,6.13,29.12,13.59,0.07,23.7
293.93,12.56,59.71,23.54,0.13,38.69
478.62,91.18,31.93,16.0,0.67,19.71
26.0,1.24,5.91,2.63,0.01,10.25
942.13,130.63,53.0,22.34,0.87,50.88
559.81,21.82,103.7,37.02,0.23,65.02
237.37,47.91,16.78,8.02,0.33,15.53
559.81,21.82,103.7,37.02,0.23,65.02
2269.57,265.05,107.54,38.78,2.21,20.92
202.7,9.0,42.76,18.63,0.1,15.71
6208.23,643.46,225.35,70.6,4.33,135.72
1104.82,31.06,147.63,45.53,0.37,173.99
308.13,67.48,23.63,11.78,0.48,12.35
1140.93,238.12,96.61,33.11,1.49,55.25
70.75,5.79,27.53,13.29,0.05,56.15
806.21,170.49,59.71,23.54,1.12,38.69
1140.93,238.12,96.61,33.11,1.49,55.25
909.09,178.43,72.39,25.4,1.09,39.07
748.92,20.46,97.25,32.48,0.3,23.63
148.59,32.67,13.25,6.7,0.23,10.36
