Stormwater Gallons Saved,CO2 Avoided (in lbs.),kWh Saved,Therms Saved,Pollutants Saved (in lbs.),Property Benefits ($)
32.06,6.98,2.44,1.39,0.05,5.77
1642.11,273.05,110.79,40.92,1.82,74.79
148.95,6.13,29.12,13.59,0.07,23.7
1892.7,290.52,117.87,44.83,1.99,84.56
688.28,102.18,35.78,14.76,0.69,52.04
25.98,1.17,5.58,3.01,0.01,8.99
3667.58,536.67,187.95,64.46,3.5,123.17
2174.42,46.51,221.06,71.12,0.55,44.06
1642.11,273.05,110.79,40.92,1.82,74.79
3782.73,431.7,175.16,61.8,2.98,53.19
104.07,7.62,36.2,17.29,0.06,61.28
21.55,0.93,4.43,2.43,0.01,9.08
1447.65,280.83,98.35,34.74,1.75,33.55
2849.11,430.32,174.6,60.93,2.85,73.67
880.13,131.7,53.44,22.99,0.9,45.07
525.48,101.68,41.25,18.76,0.71,30.4
1391.52,255.59,103.7,37.02,1.66,65.02
1642.11,273.05,110.79,40.92,1.82,74.79
235.38,49.9,20.25,10.11,0.36,11.69
1419.78,251.19,101.92,36.9,1.6,31.76
1419.78,251.19,101.92,36.9,1.6,31.76
576.86,91.66,37.19,16.97,0.63,35.71
898.58,144.28,58.54,23.44,0.92,79.48
37.14,1.03,4.91,2.43,0.01,31.72
634.44,24.94,118.52,39.26,0.23,94.41
2287.84,47.56,226.06,72.94,0.57,45.37
987.7,27.25,129.51,49.57,0.31,52.44
1177.43,177.52,72.03,27.47,1.14,50.34
205.12,31.68,12.85,6.16,0.22,38.93
252.8,9.29,44.15,17.87,0.1,41.97
216.09,6.5,30.9,13.99,0.07,42.25
211.4,8.68,41.25,18.76,0.1,30.4
197.38,22.74,7.96,4.03,0.16,51.82
252.67,10.62,50.48,21.15,0.12,34.55
322.89,65.84,23.06,11.01,0.46,20.35
1516.82,264.32,107.24,38.97,1.74,69.91
117.61,26.89,9.42,4.86,0.19,9.67
730.63,147.16,59.71,23.54,0.97,38.69
615.19,106.72,37.37,16.68,0.72,63.73
1038.36,215.38,87.39,30.72,1.36,51.11
194.04,78.62,27.53,13.29,0.45,56.15
168.06,15.74,5.51,2.27,0.13,25.31
25.98,1.17,5.58,3.01,0.01,8.99
1635.49,268.76,109.04,41.21,1.77,28.17
610.38,18.14,86.21,34.3,0.2,66.98
1299.23,205.67,72.03,27.47,1.31,50.34
1743.34,277.54,112.61,43.37,1.86,0.01
24.95,0.68,3.22,1.55,0.01,28.81
1266.23,246.85,100.16,35.06,1.58,60.14
1038.36,215.38,87.39,30.72,1.36,51.11
42.88,1.98,9.42,4.86,0.02,9.67
331.69,9.15,43.49,19.78,0.1,51.14
211.4,8.68,41.25,18.76,0.1,30.4
25.98,1.17,5.58,3.01,0.01,8.99
148.59,32.67,13.25,6.7,0.23,10.36
1038.36,215.38,87.39,30.72,1.36,51.11
703.81,119.08,41.7,18.03,0.8,39.63
417.73,18.39,87.39,30.72,0.19,51.11
545.87,89.73,59.71,23.54,0.61,38.69
300.09,46.57,16.31,7.6,0.32,41.84
721.95,132.02,53.57,20.38,0.83,41.01
568.33,19.97,94.94,29.05,0.21,124.91
2653.86,417.39,146.18,53.15,2.69,109.33
2638.98,363.53,127.31,48.54,2.45,46.03
303.52,59.39,20.8,9.11,0.39,53.59
441.01,19.19,91.22,30.42,0.18,37.14
331.69,9.15,43.49,19.78,0.1,51.14
211.4,8.68,41.25,18.76,0.1,30.4
1385.29,222.01,90.08,33.06,1.43,47.91
1289.29,228.5,92.71,34.43,1.47,47.54
133.94,2.67,12.68,5.02,0.04,26.17
946.03,150.52,100.16,35.06,1.0,60.14
42.88,1.98,9.42,4.86,0.02,9.67
1141.27,201.41,70.54,26.6,1.24,82.46
26.33,0.51,2.42,1.08,0.01,24.82
71.96,1.68,7.96,4.03,0.02,51.82
79.63,14.15,9.42,4.86,0.11,9.67
852.42,145.2,96.61,33.11,0.94,55.25
2826.17,263.23,175.16,61.8,1.89,53.19
875.93,160.49,56.21,21.62,1.02,70.88
1059.78,154.07,62.51,24.9,1.01,50.61
833.21,169.9,68.93,25.94,1.1,42.83
1266.23,246.85,100.16,35.06,1.58,60.14
215.15,7.31,34.74,15.36,0.08,42.94
6016.53,576.53,233.92,74.41,4.0,42.8
151.47,29.24,11.87,6.07,0.21,13.9
180.17,7.4,35.19,16.18,0.08,27.05
940.63,121.6,80.92,30.54,0.82,47.2
1997.59,248.14,100.68,34.58,2.0,22.72
242.2,42.67,14.94,6.55,0.28,44.65
1743.34,277.54,112.61,43.37,1.86,4.4
112.6,21.9,7.67,3.93,0.16,11.06
1743.34,277.54,112.61,43.37,1.86,4.4
1140.93,238.12,96.61,33.11,1.49,55.25
117.61,26.89,9.42,4.86,0.19,9.67
487.53,73.22,25.64,11.08,0.5,47.04
1743.34,277.54,112.61,43.37,1.86,0.01
1516.82,264.32,107.24,38.97,1.74,69.91
473.68,15.15,72.03,27.47,0.16,50.34
1266.4,231.36,93.87,31.5,1.4,85.16
148.95,6.13,29.12,13.59,0.07,23.7
1635.49,268.76,109.04,41.21,1.77,28.17
509.4,21.07,100.16,35.06,0.22,60.14
58.06,9.92,3.48,1.8,0.07,8.22
935.78,192.64,78.16,28.33,1.23,46.97
387.15,58.74,20.57,9.24,0.4,44.54
160.63,25.54,17.0,8.42,0.19,16.99
104.07,7.62,36.2,17.29,0.06,61.28
521.01,17.16,81.54,30.03,0.17,50.07
408.54,83.16,29.12,13.59,0.58,23.7
525.48,101.68,41.25,18.76,0.71,30.4
1743.34,277.54,112.61,43.37,1.86,13.19
147.63,6.4,30.4,15.1,0.07,13.66
285.45,103.36,36.2,17.29,0.6,61.28
1743.34,277.54,112.61,43.37,1.86,0.01
509.47,19.75,93.87,31.5,0.19,85.16
2182.71,301.85,122.47,45.74,2.03,51.4
937.72,28.23,134.18,49.6,0.32,101.7
192.31,11.38,54.1,23.89,0.1,71.18
713.71,23.55,111.92,40.01,0.25,49.84
761.43,24.8,117.87,44.83,0.28,84.56
2768.83,355.21,144.12,53.12,2.42,43.91
935.78,192.64,78.16,28.33,1.23,46.97
457.22,20.51,97.5,37.02,0.19,92.99
70.75,5.79,27.53,13.29,0.05,56.15
178.88,19.63,7.96,4.03,0.14,51.82
133.51,18.84,6.6,2.88,0.12,55.32
279.24,58.25,23.63,11.78,0.42,12.35
502.35,76.13,26.66,11.31,0.49,67.81
2758.07,299.93,121.69,45.78,2.03,112.23
1632.35,193.48,128.75,48.01,1.38,95.99
56.84,2.6,12.34,6.26,0.03,12.49
1204.08,233.62,94.79,32.58,1.44,35.35
25.98,1.17,5.58,3.01,0.01,8.99
1032.59,223.18,78.16,28.33,1.42,46.97
93.02,46.51,18.87,9.3,0.26,51.01
788.66,116.65,40.85,16.6,0.79,54.53
1059.78,154.07,62.51,24.9,1.01,50.61
1266.4,231.36,93.87,31.5,1.4,85.16
833.21,169.9,68.93,25.94,1.1,42.83
1706.29,39.81,189.23,65.24,0.47,52.74
541.1,22.19,105.46,38.25,0.22,74.9
37.14,1.03,4.91,2.43,0.01,31.72
306.73,46.16,18.73,7.57,0.3,43.07
42.88,1.98,9.42,4.86,0.02,9.67
117.72,4.85,23.06,11.01,0.06,20.35
144.59,9.48,45.05,20.82,0.08,66.29
335.2,14.5,68.93,25.94,0.15,42.83
701.34,23.69,112.61,43.37,0.26,26.38
1204.08,233.62,94.79,32.58,1.44,35.35
101.94,4.25,20.19,10.14,0.05,15.46
2758.07,299.93,121.69,45.78,2.03,112.23
180.17,7.4,35.19,16.18,0.08,27.05
253.4,49.75,20.19,10.14,0.36,15.46
4408.78,542.37,220.06,72.25,3.68,84.36
1117.9,201.21,70.47,28.38,1.32,44.37
842.1,168.99,59.18,24.81,1.1,67.01
919.4,196.83,68.93,25.94,1.27,42.83
1743.34,277.54,112.61,43.37,1.86,0.01
1821.13,256.01,103.87,39.2,1.69,63.54
148.59,32.67,13.25,6.7,0.23,10.36
1652.95,256.55,104.09,37.13,1.63,49.07
484.4,19.94,94.79,32.58,0.19,35.35
194.04,78.62,27.53,13.29,0.45,56.15
194.04,78.62,27.53,13.29,0.45,56.15
94.69,4.26,20.25,10.11,0.05,11.69
1412.73,224.42,91.05,32.59,1.41,49.81
1743.34,277.54,112.61,43.37,1.86,26.38
110.66,4.38,20.8,9.11,0.05,53.59
946.03,150.52,100.16,35.06,1.0,60.14
1586.22,39.09,185.8,63.18,0.46,164.12
107.52,23.93,8.38,4.35,0.17,10.78
234.24,36.22,24.1,12.09,0.28,16.88
842.1,168.99,59.18,24.81,1.1,67.01
360.22,61.84,21.66,9.19,0.41,33.7
1419.78,251.19,101.92,36.9,1.6,31.76
728.66,113.97,39.92,17.29,0.74,73.6
64.58,13.76,5.58,3.01,0.1,8.99
833.21,169.9,68.93,25.94,1.1,42.83
935.78,192.64,78.16,28.33,1.23,46.97
701.34,23.69,112.61,43.37,0.26,26.38
2174.42,48.67,231.34,72.79,0.56,0.01
389.2,57.21,20.03,8.32,0.36,64.91
610.21,22.56,107.24,38.97,0.24,69.91
2501.69,347.83,141.13,42.94,2.35,165.81
3003.55,313.93,127.37,47.55,2.13,121.57
628.38,108.82,44.15,17.87,0.71,41.97
2180.72,420.53,147.27,49.85,2.62,78.53
211.33,48.15,16.86,8.45,0.34,11.03
1441.34,262.55,106.53,36.09,1.58,91.42
392.21,10.71,50.9,17.2,0.15,26.89
109.59,20.57,8.35,4.1,0.14,11.2
1530.38,247.87,100.57,35.15,1.54,49.54
303.52,59.39,20.8,9.11,0.39,53.59
306.73,46.16,18.73,7.57,0.3,43.07
334.61,52.88,35.19,16.18,0.38,27.05
112.34,4.97,23.63,11.78,0.06,12.35
290.44,11.27,53.57,20.38,0.11,41.01
25.98,1.17,5.58,3.01,0.01,8.99
1497.24,289.79,117.58,41.38,1.82,76.43
527.79,20.69,98.35,34.74,0.21,33.55
102.64,53.88,18.87,9.3,0.3,51.01
833.21,169.9,68.93,25.94,1.1,42.83
1743.34,277.54,112.61,43.37,1.86,0.01
334.61,52.88,35.19,16.18,0.38,27.05
427.8,83.95,29.4,12.66,0.55,57.16
919.4,196.83,68.93,25.94,1.27,42.83
1038.36,215.38,87.39,30.72,1.36,51.11
163.96,37.84,13.25,6.7,0.27,10.36
815.52,155.22,62.98,22.89,0.96,40.04
83.97,10.22,3.58,1.89,0.07,51.88
768.51,24.29,115.43,41.92,0.26,50.36
2325.41,389.92,158.2,54.28,2.51,76.59
71.96,1.68,7.96,4.03,0.02,51.82
147.63,6.4,30.4,15.1,0.07,13.66
376.46,16.44,78.16,28.33,0.17,46.97
1002.66,201.63,81.81,27.91,1.22,38.11
1412.73,224.42,91.05,32.59,1.41,49.81
4088.48,454.83,184.54,64.09,3.14,52.89
29.05,6.02,2.44,1.39,0.04,5.77
3324.09,397.0,161.08,58.37,2.73,53.63
376.46,16.44,78.16,28.33,0.17,46.97
70.75,5.79,27.53,13.29,0.05,56.15
442.1,68.72,24.07,10.69,0.46,36.47
1422.84,207.42,84.16,32.94,1.39,63.26
152.59,26.83,9.4,4.71,0.19,36.01
1743.34,277.54,112.61,43.37,1.86,8.8
211.4,8.68,41.25,18.76,0.1,30.4
403.37,17.21,81.81,27.91,0.16,38.11
6212.15,730.59,296.43,84.19,4.85,164.43
2947.21,418.57,169.83,60.2,2.75,117.75
31.28,3.72,1.3,0.76,0.03,20.62
730.63,147.16,59.71,23.54,0.97,38.69
1279.02,32.78,155.82,56.9,0.38,53.43
370.94,54.11,21.96,8.89,0.38,63.57
4241.36,466.4,189.23,65.24,3.22,52.74
117.61,26.89,9.42,4.86,0.19,9.67
521.01,17.16,81.54,30.03,0.17,50.07
509.4,21.07,100.16,35.06,0.22,60.14
749.12,122.94,81.81,27.91,0.77,38.11
194.04,78.62,27.53,13.29,0.45,56.15
1804.67,311.36,109.04,41.21,2.04,28.17
1419.78,251.19,101.92,36.9,1.6,31.76
1767.95,299.71,121.6,35.18,1.89,141.27
144.59,9.48,45.05,20.82,0.08,66.29
459.0,20.33,96.61,33.11,0.2,55.25
1038.36,215.38,87.39,30.72,1.36,51.11
24.48,0.89,4.24,2.17,0.01,9.15
184.35,8.13,38.64,17.45,0.09,15.03
335.45,58.68,20.55,9.08,0.39,49.42
1266.23,246.85,100.16,35.06,1.58,60.14
1002.66,201.63,81.81,27.91,1.22,38.11
628.05,124.42,50.48,21.15,0.84,34.55
763.15,145.87,59.18,24.81,0.96,67.01
30.11,1.32,6.25,3.03,0.01,45.89
509.4,21.07,100.16,35.06,0.22,60.14
1419.78,251.19,101.92,36.9,1.6,31.76
1113.9,30.32,144.12,53.12,0.35,43.91
852.42,145.2,96.61,33.11,0.94,55.25
21.55,0.93,4.43,2.43,0.01,9.08
376.46,16.44,78.16,28.33,0.17,46.97
32.06,6.98,2.44,1.39,0.05,5.77
70.75,5.79,27.53,13.29,0.05,56.15
3033.28,355.18,144.11,51.9,2.38,85.42
2758.94,396.24,160.77,58.07,2.61,115.03
1516.82,264.32,107.24,38.97,1.74,69.91
11.69,0.51,2.44,1.39,0.01,5.77
148.59,32.67,13.25,6.7,0.23,10.36
379.11,13.62,64.73,26.57,0.14,47.71
211.4,8.68,41.25,18.76,0.1,30.4
184.57,6.19,29.4,12.76,0.07,42.98
4716.94,497.27,201.76,67.98,3.44,50.99
1988.1,404.92,141.81,47.64,2.49,79.5
3636.82,346.47,140.58,51.62,2.36,0.25
3636.82,346.47,140.58,51.62,2.36,73.39
1530.38,247.87,100.57,35.15,1.54,49.54
937.72,28.23,134.18,49.6,0.32,101.7
319.35,11.83,56.21,21.62,0.12,70.88
1045.96,28.36,134.77,51.04,0.32,52.64
833.21,169.9,68.93,25.94,1.1,42.83
345.95,68.82,24.1,12.09,0.5,16.88
285.45,103.36,36.2,17.29,0.6,61.28
1397.22,285.99,100.16,35.06,1.81,60.14
59.12,12.64,4.43,2.43,0.09,9.08
1516.82,264.32,107.24,38.97,1.74,69.91
252.8,9.29,44.15,17.87,0.1,41.97
1169.96,203.42,82.53,29.77,1.25,85.45
1743.34,277.54,112.61,43.37,1.86,0.01
25.98,1.17,5.58,3.01,0.01,8.99
2283.65,345.64,140.24,49.6,2.24,113.05
841.81,132.9,46.54,20.28,0.86,76.49
512.85,96.93,39.33,16.71,0.64,60.44
141.29,30.4,12.34,6.26,0.22,12.49
1892.7,290.52,117.87,44.83,1.99,84.56
155.91,35.23,12.34,6.26,0.25,12.49
1743.34,277.54,112.61,43.37,1.86,0.01
1096.23,224.83,91.22,30.42,1.35,37.14
1743.34,277.54,112.61,43.37,1.86,0.01
252.67,10.62,50.48,21.15,0.12,34.55
1743.34,277.54,112.61,43.37,1.86,13.19
518.1,22.22,105.62,38.97,0.21,96.55
1302.49,169.23,112.61,43.37,1.18,0.01
235.38,49.9,20.25,10.11,0.36,11.69
71.26,15.94,5.58,3.01,0.11,8.99
1311.93,242.4,98.35,34.74,1.52,33.55
94.69,4.26,20.25,10.11,0.05,11.69
175.85,67.86,27.53,13.29,0.39,56.15
502.35,76.13,26.66,11.31,0.49,67.81
587.9,87.7,30.71,12.92,0.6,49.54
1642.11,273.05,110.79,40.92,1.82,74.79
943.72,119.59,41.88,14.96,0.94,27.03
194.04,78.62,27.53,13.29,0.45,56.15
71.26,15.94,5.58,3.01,0.11,8.99
1064.02,30.94,147.07,52.78,0.34,116.93
806.21,170.49,59.71,23.54,1.12,38.69
3235.43,395.95,160.65,50.7,2.81,158.63
107.52,23.93,8.38,4.35,0.17,10.78
215.15,7.31,34.74,15.36,0.08,42.94
428.37,72.58,29.45,12.54,0.48,35.82
285.45,103.36,36.2,17.29,0.6,61.28
1140.93,238.12,96.61,33.11,1.49,55.25
53.58,10.91,4.43,2.43,0.08,9.08
117.72,4.85,23.06,11.01,0.06,20.35
1145.77,249.52,87.39,30.72,1.57,51.11
789.22,206.16,72.2,30.04,1.24,80.97
3791.55,411.42,166.93,57.38,2.76,52.67
2038.77,303.92,123.31,46.42,2.08,90.28
50.51,6.91,2.8,1.31,0.05,29.55
1162.49,30.57,145.29,53.97,0.35,53.04
427.8,83.95,29.4,12.66,0.55,57.16
1266.4,231.36,93.87,31.5,1.4,85.16
2143.25,291.29,118.19,45.03,1.96,47.21
285.45,103.36,36.2,17.29,0.6,61.28
152.59,26.83,9.4,4.71,0.19,36.01
194.04,78.62,27.53,13.29,0.45,56.15
919.4,196.83,68.93,25.94,1.27,42.83
852.42,145.2,96.61,33.11,0.94,55.25
370.94,54.11,21.96,8.89,0.38,63.57
58.06,9.92,3.48,1.8,0.07,8.22
687.52,25.56,121.5,42.8,0.26,56.9
525.48,101.68,41.25,18.76,0.71,30.4
403.37,17.21,81.81,27.91,0.16,38.11
911.96,161.74,65.62,24.09,1.01,74.45
906.39,169.78,59.46,23.68,1.12,22.0
191.52,41.56,16.86,8.45,0.3,11.03
335.2,14.5,68.93,25.94,0.15,42.83
4289.51,413.5,167.77,60.87,2.85,104.51
293.93,12.56,59.71,23.54,0.13,38.69
1635.49,268.76,109.04,41.21,1.77,28.17
1642.11,273.05,110.79,40.92,1.82,74.79
559.81,21.82,103.7,37.02,0.23,65.02
1045.96,28.36,134.77,51.04,0.32,52.64
293.93,12.56,59.71,23.54,0.13,38.69
417.73,18.39,87.39,30.72,0.19,51.11
628.05,124.42,50.48,21.15,0.84,34.55
4716.94,497.27,201.76,67.98,3.44,50.99
253.4,49.75,20.19,10.14,0.36,15.46
1743.34,277.54,112.61,43.37,1.86,8.8
53.58,10.91,4.43,2.43,0.08,9.08
211.4,8.68,41.25,18.76,0.1,30.4
920.1,231.99,81.25,33.11,1.4,85.86
331.69,9.15,43.49,19.78,0.1,51.14
1063.31,29.14,138.52,51.59,0.33,44.62
155.95,3.74,17.76,8.64,0.04,51.66
638.0,121.4,49.26,20.76,0.8,63.73
509.4,21.07,100.16,35.06,0.22,60.14
789.22,206.16,72.2,30.04,1.24,80.97
730.63,147.16,59.71,23.54,0.97,38.69
30.61,0.75,3.58,1.89,0.01,51.88
455.69,15.1,71.76,28.02,0.16,46.49
1140.93,238.12,96.61,33.11,1.49,55.25
192.31,11.38,54.1,23.89,0.1,71.18
608.11,20.88,99.24,35.58,0.21,48.61
25.98,1.17,5.58,3.01,0.01,8.99
521.01,17.16,81.54,30.03,0.17,50.07
1743.34,277.54,112.61,43.37,1.86,0.01
559.81,21.82,103.7,37.02,0.23,65.02
1726.13,288.21,100.94,35.59,1.8,87.98
2025.17,44.21,210.11,69.8,0.52,49.82
693.03,144.14,50.48,21.15,0.97,34.55
4125.73,333.84,222.14,72.2,2.42,46.66
214.93,4.79,22.77,8.87,0.07,26.67
1391.52,255.59,103.7,37.02,1.66,65.02
1743.34,277.54,112.61,43.37,1.86,4.4
287.47,43.99,15.41,6.25,0.3,54.03
235.38,49.9,20.25,10.11,0.36,11.69
1045.96,28.36,134.77,51.04,0.32,52.64
1332.94,34.68,164.84,57.99,0.39,97.55
255.42,5.85,27.82,10.79,0.09,26.92
728.66,113.97,39.92,17.29,0.74,73.6
279.24,58.25,23.63,11.78,0.42,12.35
213.11,46.14,18.72,8.23,0.31,19.34
996.48,29.37,139.62,51.19,0.34,107.41
658.71,109.98,38.52,17.2,0.74,43.18
148.59,32.67,13.25,6.7,0.23,10.36
721.95,132.02,53.57,20.38,0.83,41.01
2184.84,317.31,128.75,48.01,2.18,95.99
628.05,124.42,50.48,21.15,0.84,34.55
1743.34,277.54,112.61,43.37,1.86,0.01
71.96,1.68,7.96,4.03,0.02,51.82
1328.64,270.65,94.79,32.58,1.65,35.35
484.4,19.94,94.79,32.58,0.19,35.35
37.14,1.03,4.91,2.43,0.01,31.72
1942.5,202.54,134.77,51.04,1.45,52.64
180.17,7.4,35.19,16.18,0.08,27.05
76.1,8.82,3.58,1.89,0.06,51.88
376.46,16.44,78.16,28.33,0.17,46.97
214.93,4.79,22.77,8.87,0.07,26.67
602.34,24.74,117.58,41.38,0.25,76.43
579.84,117.79,41.25,18.76,0.82,30.4
70.38,2.85,13.53,6.07,0.03,49.74
461.94,17.77,84.45,29.03,0.17,81.59
323.1,66.59,27.02,13.44,0.48,13.0
1892.7,290.52,117.87,44.83,1.99,84.56
815.52,155.22,62.98,22.89,0.96,40.04
2644.86,362.48,147.07,52.78,2.41,116.93
610.21,22.56,107.24,38.97,0.24,69.91
191.94,26.63,10.81,5.0,0.18,33.3
2483.52,242.07,161.08,58.37,1.73,53.63
253.4,49.75,20.19,10.14,0.36,15.46
117.61,26.89,9.42,4.86,0.19,9.67
193.28,40.1,16.27,8.19,0.29,14.05
1743.34,277.54,112.61,43.37,1.86,26.38
376.46,16.44,78.16,28.33,0.17,46.97
935.78,192.64,78.16,28.33,1.23,46.97
1337.28,33.89,161.08,58.37,0.39,53.63
147.63,6.4,30.4,15.1,0.07,13.66
2539.13,219.54,146.09,54.89,1.57,90.54
1642.11,273.05,110.79,40.92,1.82,74.79
1743.34,277.54,112.61,43.37,1.86,26.38
2143.25,291.29,118.19,45.03,1.96,47.21
1002.66,201.63,81.81,27.91,1.22,38.11
104.07,7.62,36.2,17.29,0.06,61.28
303.52,59.39,20.8,9.11,0.39,53.59
3935.6,443.26,179.85,62.95,3.06,53.04
427.8,83.95,29.4,12.66,0.55,57.16
194.04,78.62,27.53,13.29,0.45,56.15
628.05,124.42,50.48,21.15,0.84,34.55
42.88,1.98,9.42,4.86,0.02,9.67
527.47,154.48,54.1,23.89,0.92,71.18
610.21,22.56,107.24,38.97,0.24,69.91
180.17,7.4,35.19,16.18,0.08,27.05
918.71,29.51,140.24,49.6,0.31,113.05
565.9,112.3,39.33,16.71,0.73,60.44
68.42,9.2,3.22,1.55,0.07,28.81
1391.52,255.59,103.7,37.02,1.66,65.02
110.66,4.38,20.8,9.11,0.05,53.59
1226.87,166.5,110.79,40.92,1.16,74.79
1892.7,290.52,117.87,44.83,1.99,84.56
230.7,33.01,13.39,4.97,0.21,43.11
155.91,35.23,12.34,6.26,0.25,12.49
628.38,108.82,44.15,17.87,0.71,41.97
628.38,108.82,44.15,17.87,0.71,41.97
1743.34,277.54,112.61,43.37,1.86,21.98
1743.34,277.54,112.61,43.37,1.86,21.98
1204.08,233.62,94.79,32.58,1.44,35.35
376.46,16.44,78.16,28.33,0.17,46.97
336.89,10.76,51.13,18.95,0.11,57.03
426.35,13.15,62.51,24.9,0.14,50.61
1038.36,215.38,87.39,30.72,1.36,51.11
77.57,12.62,4.42,2.12,0.09,26.83
2267.11,226.26,150.55,55.44,1.62,53.23
141.15,4.33,20.57,9.24,0.05,44.54
842.1,168.99,59.18,24.81,1.1,67.01
660.62,23.31,110.79,40.92,0.26,74.79
2476.97,344.11,139.62,51.19,2.36,107.41
319.35,11.83,56.21,21.62,0.12,70.88
152.59,26.83,9.4,4.71,0.19,36.01
42.88,1.98,9.42,4.86,0.02,9.67
1204.08,233.62,94.79,32.58,1.44,35.35
730.63,147.16,59.71,23.54,0.97,38.69
303.52,59.39,20.8,9.11,0.39,53.59
1038.36,215.38,87.39,30.72,1.36,51.11
1471.95,222.56,77.95,23.93,1.62,26.48
376.46,16.44,78.16,28.33,0.17,46.97
37.14,1.03,4.91,2.43,0.01,31.72
76.1,8.82,3.58,1.89,0.06,51.88
42.88,1.98,9.42,4.86,0.02,9.67
1484.15,301.13,105.46,38.25,1.89,74.9
335.2,14.5,68.93,25.94,0.15,42.83
71.96,1.68,7.96,4.03,0.02,51.82
151.76,4.8,22.81,10.65,0.05,40.19
221.06,9.86,46.87,19.81,0.1,16.4
28.28,0.93,4.42,2.12,0.01,26.83
833.21,169.9,68.93,25.94,1.1,42.83
2405.06,360.27,146.18,53.15,2.34,109.33
2094.46,317.34,111.14,41.08,2.06,48.14
21.17,0.73,3.48,1.8,0.01,8.22
252.67,10.62,50.48,21.15,0.12,34.55
12.06,0.54,2.55,1.2,0.01,7.42
260.52,37.97,15.41,6.25,0.26,54.03
2038.77,303.92,123.31,46.42,2.08,90.28
70.75,5.79,27.53,13.29,0.05,56.15
194.04,78.62,27.53,13.29,0.45,56.15
148.77,33.38,13.54,5.93,0.22,16.11
1447.65,280.83,98.35,34.74,1.75,33.55
376.46,16.44,78.16,28.33,0.17,46.97
820.19,25.94,123.31,46.42,0.3,90.28
175.85,67.86,27.53,13.29,0.39,56.15
1770.07,40.69,193.41,66.15,0.48,52.16
1649.48,319.65,129.69,44.51,1.99,77.97
628.05,124.42,50.48,21.15,0.84,34.55
1109.92,33.83,160.77,58.07,0.37,115.03
211.4,8.68,41.25,18.76,0.1,30.4
1295.08,200.97,81.54,30.03,1.28,50.07
21.55,0.93,4.43,2.43,0.01,9.08
509.47,19.75,93.87,31.5,0.19,85.16
64.58,13.76,5.58,3.01,0.1,8.99
730.63,147.16,59.71,23.54,0.97,38.69
715.23,177.95,72.2,30.04,1.08,80.97
1267.03,241.15,84.45,29.03,1.46,81.59
222.78,8.73,41.49,17.78,0.09,28.85
1328.64,270.65,94.79,32.58,1.65,35.35
5851.73,566.85,229.99,73.68,3.93,44.08
1075.78,145.33,50.9,17.2,1.11,26.89
180.17,7.4,35.19,16.18,0.08,27.05
213.15,30.4,10.65,4.46,0.19,58.58
106.58,23.21,9.42,4.86,0.17,9.67
86.49,3.58,17.0,8.42,0.04,16.99
25.98,1.17,5.58,3.01,0.01,8.99
2318.93,310.52,125.99,47.66,2.11,51.92
622.51,103.6,68.93,25.94,0.7,42.83
112.34,4.97,23.63,11.78,0.06,12.35
1743.34,277.54,112.61,43.37,1.86,0.01
11.69,0.51,2.44,1.39,0.01,5.77
427.75,50.7,17.76,8.64,0.35,51.66
396.59,128.65,45.05,20.82,0.76,66.29
194.92,29.56,10.35,4.26,0.2,45.17
3782.73,431.7,175.16,61.8,2.98,53.19
148.59,32.67,13.25,6.7,0.23,10.36
376.46,16.44,78.16,28.33,0.17,46.97
820.19,25.94,123.31,46.42,0.3,90.28
55.74,8.0,2.8,1.31,0.05,29.55
211.8,30.86,10.81,5.0,0.21,33.3
935.78,192.64,78.16,28.33,1.23,46.97
721.95,132.02,53.57,20.38,0.83,41.01
1059.78,154.07,62.51,24.9,1.01,50.61
403.37,17.21,81.81,27.91,0.16,38.11
59.12,12.64,4.43,2.43,0.09,9.08
473.68,15.15,72.03,27.47,0.16,50.34
1923.68,321.54,112.61,43.37,2.13,26.38
920.1,231.99,81.25,33.11,1.4,85.86
163.96,37.84,13.25,6.7,0.27,10.36
1148.25,208.15,84.45,29.03,1.27,81.59
356.53,77.14,27.02,13.44,0.55,13.0
658.35,180.32,63.15,26.97,1.08,76.08
39.2,1.76,8.38,4.35,0.02,10.78
1743.34,277.54,112.61,43.37,1.86,0.01
433.75,78.7,31.93,16.0,0.58,19.71
1055.24,30.52,145.05,52.78,0.35,113.12
1140.93,238.12,96.61,33.11,1.49,55.25
1003.14,206.71,72.39,25.4,1.26,39.07
473.68,15.15,72.03,27.47,0.16,50.34
703.81,119.08,41.7,18.03,0.8,39.63
117.72,4.85,23.06,11.01,0.06,20.35
1039.64,155.85,103.7,37.02,1.05,65.02
25.98,1.17,5.58,3.01,0.01,8.99
545.87,89.73,59.71,23.54,0.61,38.69
1743.34,277.54,112.61,43.37,1.86,26.38
1460.28,35.86,170.46,60.66,0.42,53.33
1140.93,238.12,96.61,33.11,1.49,55.25
711.03,24.05,114.33,42.87,0.27,79.68
53.58,10.91,4.43,2.43,0.08,9.08
104.07,7.62,36.2,17.29,0.06,61.28
639.86,25.64,121.87,42.87,0.25,103.67
1732.81,229.16,92.98,36.54,1.55,74.89
909.09,178.43,72.39,25.4,1.09,39.07
252.67,10.62,50.48,21.15,0.12,34.55
1311.93,242.4,98.35,34.74,1.52,33.55
1258.96,275.87,96.61,33.11,1.72,55.25
666.35,119.41,48.45,20.61,0.82,21.08
21.55,0.93,4.43,2.43,0.01,9.08
